bond condition,tension method,Width_b_mm,Height_h_mm,Span_L_m,h0/mm,Cover_c_mm,hp/mm,cover for prestress ap/mm,As`/mm2,As_mm2,Ap_mm2,d1/mm,no.,d/mm,no..2,dpre/mm,no..3,fy/Mpa,fpu_Mpa,fpy/Mpa,Es_Mpa,Ep/Mpa,concrete grade,fc_Mpa,ft_Mpa,Ec_Mpa,tension force N/kN,sigma_pe_Mpa,sigma_con_Mpa,crack load Pcr/kN,crack moment Mcr/kN·m,ultimate load Pu/kN,ultimate moment Mu/kN·m,camber f/mm,moment corresponding to crack M/kN·m,load correspd to crack N/kN,average crack space /mm,Max crack width/mm,moment correspd to deflection1 M/kN·m,deflection1 f1/mm,load N/kN,deflection2 f2/mm,Deflection_Yielded_Dy_mm,Limit_Displacement_Du_mm,Ductility Coefficient μ,Stress_Increase_Dfps_Mpa,Mu (Ultimate Moment),Pu (Ultimate Load),Pcr (Cracking Load),Deflection f1/mm,Deflection f2/mm
B,H,250,300,2.4,270,30,182,60,57,226,28.26,12,2,10,2,6,1,422,1810,1050,200000,125000,C44,50.95,4.56,38600,724,1025,470,64,17.5,162,43.5,0.31,62.55,80,267,0.11,Mcr/0.8,1.5,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,12,2,10,2,6,1,422,1810,1050,200000,125000,C44,50.95,4.56,38600,724,1025,470,64,17.5,162,43.5,0.31,62.55,100,267,0.19,Mcr/0.8,4.3,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,12,2,10,2,6,1,422,1810,1050,200000,125000,C44,50.95,4.56,38600,905,1025,470,70,17.5,164,43.5,0.31,62.55,148,267,0.5,Mcr/0.8,20.4,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,12,2,10,2,6,1,422,1810,1050,200000,125000,C44,50.95,4.56,38600,905,1025,470,70,17.5,164,43.5,0.31,62.55,80,267,0.08,Mcr/0.8,1.4,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,12,2,10,2,6,1,422,1810,1050,200000,125000,C44,50.95,4.56,38600,905,1025,470,70,17.5,164,43.5,0.31,62.55,100,267,0.15,Mcr/0.8,4.1,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,16,2,10,2,6,1,440,1810,1050,200000,125000,C44,50.95,4.56,38600,543,1025,470,60,17.5,196,43.5,0.31,62.55,168,267,0.49,Mcr/0.8,23.4,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,16,2,10,2,6,1,440,1810,1050,200000,125000,C44,50.95,4.56,38600,543,1025,470,60,17.5,196,43.5,0.31,62.55,60,267,0.08,Mcr/0.8,1.5,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,16,2,10,2,6,1,440,1810,1050,200000,125000,C44,50.95,4.56,38600,543,1025,470,60,17.5,196,43.5,0.31,62.55,80,267,0.12,Mcr/0.8,4.3,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,16,2,10,2,6,1,440,1810,1050,200000,125000,C44,50.95,4.56,38600,543,1025,470,60,17.5,196,43.5,0.31,62.55,100,267,0.17,Mcr/0.8,4.3,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,16,2,10,2,6,1,440,1810,1050,200000,125000,C44,50.95,4.56,38600,905,1025,470,76,17.5,202,43.5,0.31,62.55,168,267,0.51,Mcr/0.8,19.7,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,16,2,10,2,6,1,440,1810,1050,200000,125000,C44,50.95,4.56,38600,905,1025,470,76,17.5,202,43.5,0.31,62.55,80,267,0.03,Mcr/0.8,1.1,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
B,H,250,300,2.4,270,30,182,60,57,226,28.26,16,2,10,2,6,1,440,1810,1050,200000,125000,C44,50.95,4.56,38600,905,1025,470,76,17.5,202,43.5,0.31,62.55,100,267,0.07,Mcr/0.8,3.3,78.28,123.2,12.04,37.65,4.37,264,44928800,1658148.8,28500,1.28E-15,1.92E-15
